GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
1400000US29510112400,29510112400,"Census Tract 1124, St. Louis city, Missouri",2341,329,369,148,0,11,0,11,0,11,354,144,2,4,1,4,12,19,1972,302,12,22,42,57,40,40,1305,302,413,121,138,75,22,38
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",2159,154,254,119,10,15,0,11,0,11,223,114,20,23,1,4,0,11,1905,170,67,44,75,46,126,56,1159,142,281,79,66,36,131,44
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",3024,354,502,361,87,114,0,11,0,11,403,259,12,20,0,11,0,11,2522,378,152,99,104,70,100,103,1748,255,341,117,68,53,9,14
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",3871,253,228,145,0,11,0,11,0,11,67,57,110,79,20,33,31,53,3643,290,232,120,238,92,229,106,2125,255,639,201,138,121,42,48
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",3656,516,226,120,18,28,8,15,15,30,144,83,30,36,11,18,0,11,3430,509,129,94,112,96,201,187,2345,357,427,112,156,90,60,49
1400000US29510114300,29510114300,"Census Tract 1143, St. Louis city, Missouri",4526,365,130,88,0,15,14,24,0,15,78,66,1,2,24,27,13,22,4396,367,367,146,112,77,240,101,2902,260,603,125,116,72,56,48
1400000US29510115100,29510115100,"Census Tract 1151, St. Louis city, Missouri",2966,321,626,209,78,80,21,33,14,22,265,135,157,83,81,61,10,16,2340,342,135,98,107,59,139,77,1488,264,305,89,85,43,81,51
1400000US29510115200,29510115200,"Census Tract 1152, St. Louis city, Missouri",1304,262,224,143,16,18,22,32,49,69,88,52,49,37,0,11,0,11,1080,232,64,44,48,65,20,33,705,143,156,54,66,41,21,19
1400000US29510115300,29510115300,"Census Tract 1153, St. Louis city, Missouri",2514,331,487,253,142,110,63,66,0,15,274,133,8,13,0,15,0,15,2027,343,139,63,136,98,51,46,1186,198,373,134,103,46,39,37
1400000US29510115400,29510115400,"Census Tract 1154, St. Louis city, Missouri",1910,280,436,219,82,79,50,45,31,32,256,116,17,20,0,11,0,11,1474,230,104,59,48,46,50,37,969,180,200,65,84,57,19,21
1400000US29510115500,29510115500,"Census Tract 1155, St. Louis city, Missouri",2563,619,1003,677,141,183,30,55,0,15,658,451,163,155,11,19,0,15,1560,297,93,92,0,15,0,15,1171,261,209,100,87,58,0,15
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",1664,408,364,218,30,47,30,48,0,11,145,108,106,76,53,52,0,11,1300,360,33,40,62,87,11,20,782,243,242,124,113,88,57,53
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",1147,266,344,265,0,11,86,102,25,35,210,130,23,33,0,11,0,11,803,198,82,61,10,18,15,17,481,141,173,78,18,18,24,20
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",1331,164,188,93,34,34,0,11,0,11,122,60,25,27,7,11,0,11,1143,156,4,7,30,29,29,32,920,155,103,53,51,33,6,9
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",2779,360,227,125,0,11,0,11,0,11,143,79,84,90,0,11,0,11,2552,362,263,149,47,49,17,27,1855,277,322,130,48,56,0,11
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",2293,387,148,88,0,11,0,11,0,11,125,81,14,21,0,11,9,14,2145,403,211,87,123,144,77,58,1390,235,277,74,50,35,17,19
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",403,162,103,76,0,11,0,11,0,11,92,69,0,11,0,11,11,18,300,143,0,11,0,11,0,11,280,137,20,33,0,11,0,11
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",1132,300,443,212,50,57,41,66,0,11,303,132,20,19,18,20,11,18,689,239,13,20,28,45,0,11,326,107,260,173,22,22,40,32
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",1996,401,331,169,32,48,0,11,0,11,275,145,24,22,0,11,0,11,1665,323,150,79,90,65,28,21,1071,218,279,95,30,24,17,19
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",1021,134,108,36,0,11,0,11,0,11,80,29,28,22,0,11,0,11,913,134,7,9,19,18,5,8,752,124,94,35,30,22,6,9
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",2669,392,375,215,63,78,31,48,0,15,252,148,0,15,14,22,15,25,2294,379,222,173,15,34,15,30,1744,288,201,74,57,50,40,61
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",2424,286,351,235,27,32,60,61,56,88,174,96,34,34,0,11,0,11,2073,239,123,63,95,78,50,43,1274,161,395,104,110,50,26,27
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",341,70,55,31,0,11,0,11,0,11,29,18,25,19,0,11,1,2,286,70,6,8,11,12,0,11,220,64,29,22,20,22,0,11
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",138,53,90,45,0,11,0,11,0,11,61,39,29,24,0,11,0,11,48,29,0,11,0,11,0,11,10,11,28,23,0,11,10,11
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",1341,209,354,129,0,11,0,11,0,11,345,127,9,13,0,11,0,11,987,183,62,67,27,41,18,30,683,136,164,65,17,20,16,26
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",1187,189,288,158,34,50,0,11,0,11,254,114,0,11,0,11,0,11,899,160,8,14,0,11,9,16,689,146,155,77,16,26,22,34
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",1894,257,470,160,0,11,0,11,0,11,468,160,2,5,0,11,0,11,1424,223,59,58,24,19,0,11,943,173,338,134,38,41,22,26
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",591,203,98,48,0,11,0,11,2,4,71,39,23,26,2,4,0,11,493,190,47,48,20,27,14,15,354,154,56,39,2,5,0,11
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",1077,300,721,245,10,15,11,17,6,13,638,216,13,20,43,67,0,11,356,144,28,36,0,11,0,11,272,118,34,27,15,32,7,16
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",124,111,15,17,0,11,0,11,0,11,15,17,0,11,0,11,0,11,109,112,30,44,5,9,0,11,70,73,0,11,4,8,0,11
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",208,73,149,61,0,11,0,11,0,11,149,61,0,11,0,11,0,11,59,30,0,11,0,11,0,11,43,26,3,6,13,14,0,11
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",35,42,5,8,0,11,0,11,0,11,5,8,0,11,0,11,0,11,30,41,0,11,0,11,0,11,30,41,0,11,0,11,0,11
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",919,191,88,52,0,11,0,11,1,2,57,39,12,19,18,19,0,11,831,168,49,30,52,47,37,40,616,144,56,38,21,22,0,11
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",1437,161,87,57,0,11,0,11,0,11,57,43,30,35,0,11,0,11,1350,161,81,49,9,15,18,21,936,153,271,78,22,25,13,20
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",1963,236,120,57,0,11,0,11,9,15,97,51,14,21,0,11,0,11,1843,238,79,61,36,34,31,24,1474,204,154,73,57,28,12,16
1400000US29510124100,29510124100,"Census Tract 1241, St. Louis city, Missouri",1109,294,332,132,19,30,34,38,0,15,180,104,59,41,40,43,0,15,777,288,92,98,25,29,31,48,538,185,49,42,9,13,33,28
1400000US29510124200,29510124200,"Census Tract 1242, St. Louis city, Missouri",843,194,131,78,0,11,0,11,1,9,115,72,15,18,0,11,0,11,712,173,31,31,43,42,0,11,551,132,66,36,21,20,0,11
1400000US29510124300,29510124300,"Census Tract 1243, St. Louis city, Missouri",2124,216,280,101,18,27,0,11,0,11,218,75,17,18,27,33,0,11,1844,232,75,40,50,36,60,49,1237,176,332,99,82,36,8,12
1400000US29510124600,29510124600,"Census Tract 1246, St. Louis city, Missouri",633,127,182,66,8,12,9,15,10,15,139,46,16,14,0,11,0,11,451,110,44,36,43,39,27,26,262,77,56,24,0,11,19,16
1400000US29510125500,29510125500,"Census Tract 1255, St. Louis city, Missouri",1830,213,319,164,0,11,0,11,0,11,319,164,0,11,0,11,0,11,1511,196,124,42,0,11,0,11,1341,180,36,34,10,15,0,11
1400000US29510125600,29510125600,"Census Tract 1256, St. Louis city, Missouri",1714,312,135,95,0,11,0,11,0,11,118,92,17,23,0,11,0,11,1579,304,31,48,0,11,0,11,1378,260,170,106,0,11,0,11
1400000US29510125700,29510125700,"Census Tract 1257, St. Louis city, Missouri",38,40,23,33,0,11,0,11,0,11,23,33,0,11,0,11,0,11,15,26,0,11,0,11,0,11,9,15,0,11,0,11,6,10
1400000US29510126600,29510126600,"Census Tract 1266, St. Louis city, Missouri",409,199,120,107,24,50,0,11,0,11,75,65,9,16,12,14,0,11,289,148,15,22,0,11,0,11,217,145,45,37,0,11,12,19
1400000US29510126700,29510126700,"Census Tract 1267, St. Louis city, Missouri",432,116,171,114,0,11,0,11,15,27,87,71,44,36,25,32,0,11,261,101,0,11,8,11,15,22,99,61,110,57,29,25,0,11
1400000US29510126800,29510126800,"Census Tract 1268, St. Louis city, Missouri",2882,271,264,112,10,16,11,17,0,11,222,94,14,16,0,11,7,12,2618,278,124,61,131,116,41,31,1893,180,315,85,41,29,73,49
1400000US29510126900,29510126900,"Census Tract 1269, St. Louis city, Missouri",137,217,83,160,0,11,0,11,4,8,17,28,38,80,24,53,0,11,54,66,6,12,0,11,0,11,0,11,48,66,0,11,0,11
1400000US29510127000,29510127000,"Census Tract 1270, St. Louis city, Missouri",169,67,40,31,0,11,0,11,0,11,29,29,0,11,5,7,6,10,129,56,11,17,0,11,0,11,54,34,18,18,42,26,4,6
1400000US29510127100,29510127100,"Census Tract 1271, St. Louis city, Missouri",33,43,5,7,0,11,0,11,0,11,0,11,5,7,0,11,0,11,28,42,0,11,0,11,15,23,13,19,0,11,0,11,0,11
1400000US29510127200,29510127200,"Census Tract 1272, St. Louis city, Missouri",3172,344,435,208,0,11,65,81,12,19,267,150,55,53,9,13,27,31,2737,343,132,90,120,95,41,41,1601,250,605,185,199,110,39,39
1400000US29510127300,29510127300,"Census Tract 1273, St. Louis city, Missouri",1109,195,201,90,0,11,0,11,0,11,159,79,42,53,0,11,0,11,908,172,96,70,39,40,24,28,608,150,133,78,0,11,8,12
1400000US29510127400,29510127400,"Census Tract 1274, St. Louis city, Missouri",1716,385,269,256,0,15,57,71,71,105,141,101,0,15,0,15,0,15,1447,339,150,117,91,69,40,49,1033,224,133,76,0,15,0,15
1400000US29510127500,29510127500,"Census Tract 1275, St. Louis city, Missouri",429,90,33,38,0,11,0,11,0,11,18,20,0,11,15,34,0,11,396,86,0,11,0,11,0,11,363,83,33,33,0,11,0,11
1400000US29510127600,29510127600,"Census Tract 1276, St. Louis city, Missouri",2469,266,184,83,0,11,0,11,7,11,135,68,15,19,18,20,9,14,2285,273,40,55,80,83,0,11,1855,255,281,105,18,23,11,17
