GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",1123,50,0,11,0,11,0,11,4,6,5,8,15,10,56,33,51,24,79,46,913,85
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",2832,120,0,15,0,15,198,112,20,36,27,33,51,43,76,92,180,112,134,111,2146,205
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",2335,80,0,11,0,11,26,18,15,22,37,48,44,36,70,63,128,75,133,79,1882,132
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",825,41,0,11,0,11,190,63,36,34,6,8,13,14,33,23,18,13,119,44,410,69
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",576,53,0,11,0,11,43,32,13,11,35,27,94,42,231,54,68,43,25,19,67,41
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",1734,64,0,11,18,20,144,58,91,58,20,23,35,33,71,63,43,46,69,55,1243,129
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",1912,75,0,11,0,11,156,75,122,67,338,130,269,104,493,120,22,20,77,59,435,135
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",2006,55,0,11,0,11,15,22,95,67,240,88,175,63,214,79,209,91,93,68,965,118
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",1025,66,0,11,8,8,175,64,127,59,72,40,41,36,67,40,20,23,12,13,503,88
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",1745,100,0,11,28,24,271,95,247,87,286,94,75,50,163,82,111,67,114,65,450,92
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",664,29,0,11,4,7,81,44,23,22,0,11,6,8,13,20,50,37,68,39,419,72
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",1068,62,0,11,35,26,157,60,109,61,241,56,173,71,187,56,31,20,16,15,119,49
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",1229,40,0,11,14,22,548,91,101,58,88,48,285,87,57,33,21,27,5,7,110,50
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",1914,44,0,11,0,11,84,56,115,59,276,97,0,11,0,11,47,33,187,85,1205,128
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",1606,46,0,11,23,22,158,75,105,65,21,18,63,51,9,15,3,6,29,28,1195,111
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",1748,48,0,11,0,11,18,20,7,12,26,27,24,22,35,26,49,41,56,40,1533,90
1400000US29510124100,29510124100,"Census Tract 1241, St. Louis city, Missouri",2488,98,0,15,0,15,12,18,7,14,57,53,161,84,116,66,154,85,180,103,1801,184
1400000US29510124200,29510124200,"Census Tract 1242, St. Louis city, Missouri",1913,58,0,11,8,12,23,21,121,64,41,36,136,74,173,85,96,63,49,48,1266,141
1400000US29510124300,29510124300,"Census Tract 1243, St. Louis city, Missouri",1955,77,0,11,0,11,46,44,53,44,40,22,39,32,6,10,7,11,55,46,1709,101
1400000US29510124600,29510124600,"Census Tract 1246, St. Louis city, Missouri",969,36,0,11,0,11,3,6,16,16,59,27,81,51,92,42,85,44,32,27,601,76
1400000US29510125500,29510125500,"Census Tract 1255, St. Louis city, Missouri",3419,95,0,11,8,12,195,91,71,81,10,17,100,73,830,186,451,152,145,75,1609,177
1400000US29510125600,29510125600,"Census Tract 1256, St. Louis city, Missouri",3042,117,0,11,0,11,203,135,30,35,266,156,227,106,388,139,225,129,112,71,1591,261
1400000US29510125700,29510125700,"Census Tract 1257, St. Louis city, Missouri",1720,106,0,11,82,61,222,104,145,74,561,166,203,103,135,103,95,99,74,47,203,117
1400000US29510126600,29510126600,"Census Tract 1266, St. Louis city, Missouri",1545,93,0,11,10,17,242,104,182,78,57,54,10,12,111,63,165,90,91,60,677,143
1400000US29510126700,29510126700,"Census Tract 1267, St. Louis city, Missouri",979,58,0,11,0,11,0,11,21,15,0,11,27,30,57,34,140,55,138,55,596,77
1400000US29510126800,29510126800,"Census Tract 1268, St. Louis city, Missouri",1929,58,0,11,7,11,61,42,25,25,16,18,108,50,59,32,363,93,236,97,1054,99
1400000US29510126900,29510126900,"Census Tract 1269, St. Louis city, Missouri",2240,115,0,11,0,11,10,16,15,17,10,16,33,26,149,85,204,89,563,152,1256,163
1400000US29510127000,29510127000,"Census Tract 1270, St. Louis city, Missouri",849,38,0,11,0,11,0,11,29,25,24,26,92,46,194,55,223,79,147,60,140,57
1400000US29510127100,29510127100,"Census Tract 1271, St. Louis city, Missouri",1347,66,0,11,0,11,328,87,71,43,54,36,153,51,44,34,93,45,29,23,575,101
1400000US29510127200,29510127200,"Census Tract 1272, St. Louis city, Missouri",2368,64,0,11,17,26,127,62,90,89,267,92,286,116,131,80,395,157,155,102,900,158
1400000US29510127300,29510127300,"Census Tract 1273, St. Louis city, Missouri",1925,71,0,11,11,18,194,79,112,51,53,43,65,55,76,66,100,64,64,48,1250,148
1400000US29510127400,29510127400,"Census Tract 1274, St. Louis city, Missouri",2340,63,0,15,13,25,494,148,103,101,177,125,167,98,177,172,163,102,20,26,1026,171
1400000US29510127500,29510127500,"Census Tract 1275, St. Louis city, Missouri",1588,49,0,11,7,11,137,65,318,85,89,53,27,31,91,58,62,41,26,26,831,86
1400000US29510127600,29510127600,"Census Tract 1276, St. Louis city, Missouri",2278,51,0,11,0,11,143,78,21,21,84,51,52,36,246,94,80,62,131,74,1521,160
